AÑO,RAMO_ID,RAMO,DENOMINACION, MONTO ,FACTOR, VALOR_REAL 
2024,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia","Apoyos institucionales para actividades cientificas, tecnologicas y de innovacion","$148,882,249.00 ",1.36095,"$109,395,825.70 "
2024,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia",Becas de posgrado y otras modalidades de apoyo a la calidad,"$148,854,470.00 ",1.36095,"$109,375,414.20 "
2024,47,Entidades No Sectorizadas, Programa para el Bienestrar Integral de los Pueblos Indigenas,"$31,915,053.00 ",1.36095,"$23,450,569.82 "
2024,52,Petroleos Mexicanos,Proyectos de infraestructura economica de hidrocarburos,"$1,839,738,036.00 ",1.36095,"$1,351,804,281.00 "
2024,52,Petroleos Mexicanos,Operación y mantenimiento de la infraestructura en ecología,"$300,000.00 ",1.36095,"$220,434.26 "
2024,52,Petroleos Mexicanos,Mantenimiento de infraestructura,"$38,355,976.00 ",1.36095,"$28,183,236.71 "
2024,53,Comision Federal de Electricidad,Mantenimiento de infraestructura,"$1,860,556,806.00 ",1.36095,"$1,367,101,514.00 "
2024,53,Comision Federal de Electricidad,Servicio de transporte de gas natural,"$34,757,293,640.00 ",1.36095,"$25,538,993,820.00 "
2024,53,Comision Federal de Electricidad,Proyectos de infraestructura economica de electricidad,"$252,130,000.00 ",1.36095,"$185,260,296.10 "
2024,53,Comision Federal de Electricidad,Promocion de medidas para el ahorro y uso eficiente de la energia electrica,"$2,260,000.00 ",1.36095,"$1,660,604.72 "
